         9311187 function calls (9286666 primitive calls) in 17.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.070    0.070   14.737   14.737 main_GANs.py:211(<listcomp>)
    50001    0.235    0.000   14.667    0.000 cifar.py:103(__getitem__)
    50000    0.212    0.000   12.003    0.000 transforms.py:93(__call__)
103426/100602    0.215    0.000    7.350    0.000 module.py:1494(_call_impl)
    50000    0.056    0.000    4.646    0.000 transforms.py:129(__call__)
    50000    0.572    0.000    4.590    0.000 functional.py:125(to_tensor)
    50000    0.046    0.000    3.814    0.000 transforms.py:353(forward)
    50000    0.234    0.000    3.768    0.000 functional.py:391(resize)
    50000    0.046    0.000    3.014    0.000 transforms.py:269(forward)
    50000    0.192    0.000    2.968    0.000 functional.py:340(normalize)
    50000    0.093    0.000    2.707    0.000 _functional_pil.py:238(resize)
    50000    0.259    0.000    2.588    0.000 Image.py:2090(resize)
    50000    0.788    0.000    2.528    0.000 _functional_tensor.py:905(normalize)
    50000    0.446    0.000    2.429    0.000 Image.py:3031(fromarray)
    50000    2.099    0.000    2.099    0.000 {method 'resize' of 'ImagingCore' objects}
    50000    0.454    0.000    1.435    0.000 {built-in method numpy.array}
        1    0.033    0.033    1.358    1.358 GANs_MLP_model.py:45(train)
    50010    0.075    0.000    1.105    0.000 Image.py:2974(frombuffer)
      100    0.014    0.000    1.026    0.010 optimizers.py:319(step)
    50000    0.100    0.000    0.971    0.000 Image.py:2936(frombytes)
    50000    0.084    0.000    0.957    0.000 Image.py:686(__array_interface__)
    50000    0.849    0.000    0.849    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
    50000    0.205    0.000    0.688    0.000 Image.py:725(tobytes)
    52800    0.643    0.000    0.643    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
    50000    0.584    0.000    0.584    0.000 {method 'div' of 'torch._C._TensorBase' objects}
      400    0.004    0.000    0.584    0.001 __init__.py:204(grad)
      400    0.549    0.001    0.549    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
        1    0.001    0.001    0.548    0.548 Dataloader.py:45(cifar10_data)
        1    0.000    0.000    0.547    0.547 cifar.py:51(__init__)
   200005    0.314    0.000    0.526    0.000 utils.py:538(_log_api_usage_once)
   152902    0.464    0.000    0.464    0.000 {method 'view' of 'torch._C._TensorBase' objects}
    50010    0.102    0.000    0.452    0.000 Image.py:2897(new)
    50000    0.086    0.000    0.434    0.000 functional.py:64(get_dimensions)
   100000    0.432    0.000    0.432    0.000 {built-in method torch.as_tensor}
    50940    0.424    0.000    0.424    0.000 {method 'to' of 'torch._C._TensorBase' objects}
      200    0.060    0.000    0.392    0.002 utils.py:177(Hvp_vec)
    50000    0.107    0.000    0.367    0.000 Image.py:803(frombytes)
        7    0.000    0.000    0.364    0.052 utils.py:69(check_integrity)
        1    0.000    0.000    0.364    0.364 cifar.py:128(_check_integrity)
        7    0.000    0.000    0.362    0.052 utils.py:65(check_md5)
        7    0.000    0.000    0.362    0.052 utils.py:51(calculate_md5)
    50000    0.288    0.000    0.288    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
      181    0.279    0.002    0.279    0.002 {method 'update' of '_hashlib.HASH' objects}
    50600    0.272    0.000    0.272    0.000 {method 'any' of 'torch._C._TensorBase' objects}
    50000    0.259    0.000    0.259    0.000 {method 'sub_' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.248    0.248 __init__.py:338(set_device)
        1    0.248    0.248    0.248    0.248 {built-in method torch._C._cuda_setDevice}
   100020    0.163    0.000    0.244    0.000 Image.py:542(_new)
   200001    0.120    0.000    0.217    0.000 _trace.py:1101(is_tracing)
    50000    0.209    0.000    0.209    0.000 {method 'permute' of 'torch._C._TensorBase' objects}
    50000    0.203    0.000    0.203    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
    50000    0.079    0.000    0.200    0.000 _functional_pil.py:22(get_dimensions)
1502796/1502759    0.193    0.000    0.194    0.000 {built-in method builtins.isinstance}
    50000    0.099    0.000    0.184    0.000 Image.py:249(_conv_type_shape)
    50000    0.179    0.000    0.179    0.000 {built-in method torch.from_numpy}
    50000    0.115    0.000    0.178    0.000 Image.py:394(_getdecoder)
      102    0.001    0.000    0.178    0.002 dataloader.py:628(__next__)
      102    0.000    0.000    0.173    0.002 dataloader.py:675(_next_data)
      100    0.000    0.000    0.169    0.002 fetch.py:46(fetch)
      100    0.000    0.000    0.166    0.002 collate.py:204(default_collate)
  300/100    0.002    0.000    0.166    0.002 collate.py:87(collate)
      100    0.000    0.000    0.161    0.002 collate.py:142(<listcomp>)
      100    0.000    0.000    0.158    0.002 collate.py:153(collate_tensor_fn)
      100    0.157    0.002    0.157    0.002 {built-in method torch.stack}
    50010    0.154    0.000    0.154    0.000 {method 'encode' of 'ImagingEncoder' objects}
        6    0.148    0.025    0.148    0.025 {built-in method _pickle.load}
    50010    0.084    0.000    0.146    0.000 Image.py:417(_getencoder)
   150020    0.115    0.000    0.145    0.000 Image.py:831(load)
   150030    0.132    0.000    0.132    0.000 Image.py:511(__init__)
   150020    0.099    0.000    0.131    0.000 Image.py:2876(_check_size)
   200030    0.130    0.000    0.130    0.000 {built-in method torch._C._log_api_usage_once}
    50000    0.049    0.000    0.130    0.000 _functional_pil.py:41(get_image_num_channels)
    50010    0.124    0.000    0.124    0.000 {built-in method PIL._imaging.fill}
     1008    0.003    0.000    0.119    0.000 container.py:215(forward)
   100000    0.053    0.000    0.118    0.000 Image.py:1308(getbands)
   103426    0.110    0.000    0.110    0.000 {built-in method torch._C._get_tracing_state}
    50000    0.074    0.000    0.095    0.000 functional.py:366(_compute_resized_output_size)
        1    0.000    0.000    0.090    0.090 GANs_abstract_object.py:30(__init__)
        1    0.000    0.000    0.089    0.089 GANs_abstract_object.py:78(build_models)
   150000    0.086    0.000    0.086    0.000 ImageMode.py:36(getmode)
   200000    0.070    0.000    0.084    0.000 _functional_pil.py:14(_is_pil_image)
      188    0.000    0.000    0.081    0.000 utils.py:60(<lambda>)
      193    0.081    0.000    0.081    0.000 {method 'read' of '_io.BufferedReader' objects}
     1008    0.002    0.000    0.080    0.000 linear.py:113(forward)
        7    0.000    0.000    0.080    0.011 linear.py:90(__init__)
